seed	regime	gene_id	time	expression
7483	collapse	2	18	0.015092141242565362
7483	collapse	2	19	0.01521137892651892
7483	collapse	2	20	0.015319740771939157
7483	collapse	2	21	0.01540608364219147
7483	collapse	2	22	0.015454709137083359
7483	collapse	2	23	0.015443797063819925
7483	collapse	2	24	0.015344271480465703
7483	collapse	2	25	0.015120020844573602
7483	collapse	2	26	0.014731033682159148
7483	collapse	2	27	0.014141043069395336
7483	collapse	2	28	0.013329518088679116
7483	collapse	2	29	0.012304018572980307
7483	collapse	2	30	0.011105736585258095
7483	collapse	2	31	0.009803047761957284
7483	collapse	2	32	0.008475302366978505
7483	collapse	2	33	0.007195154687453341
7483	collapse	2	34	0.006016850360304236
7483	collapse	2	35	0.00497252991553946
7483	collapse	2	36	0.004074435070372966
7483	collapse	2	37	0.003319902369120208
7483	collapse	2	38	0.002696820713847575
7483	collapse	2	39	0.0021883085443856016
7483	collapse	2	40	0.0017761661916888584
7483	collapse	2	41	0.0014431071350365947
7483	collapse	2	42	0.0011739572910097224
7483	collapse	2	43	0.0009560758670863462
7483	collapse	2	44	0.0007792726596761905
7483	collapse	2	45	0.000635472072010271
7483	collapse	2	46	0.0005183046420394612
7483	collapse	2	47	0.0004227264651253959
7483	collapse	2	48	0.00034470652115295897
7483	collapse	2	49	0.00028098854434715364
7483	collapse	2	50	0.00022891937235571512
7483	collapse	2	51	0.0001863297285495915
7483	collapse	2	52	0.00015145098937209152
7483	collapse	2	53	0.00012285211139331036
7483	collapse	2	54	9.938504460242192e-05
7483	collapse	2	55	8.013324531464602e-05
7483	collapse	2	56	6.436335807616469e-05
7483	collapse	2	57	5.148267991328904e-05
7483	collapse	2	58	4.100475633257307e-05
7483	collapse	2	59	3.2523823692662194e-05
7483	collapse	2	60	2.5697174621252514e-05
7483	collapse	2	61	2.023355835840431e-05
7483	collapse	2	62	1.5885520845077352e-05
7483	collapse	2	63	1.2443924682249493e-05
7483	collapse	2	64	9.733469328796036e-06
7483	collapse	2	65	7.608601696205079e-06
7483	collapse	2	66	5.949614490768613e-06
7483	collapse	2	67	4.658938193081478e-06
7483	collapse	2	68	3.657694545870336e-06
7483	collapse	2	69	2.8825767030691022e-06
7483	collapse	2	70	2.2831053032232653e-06
7483	collapse	2	71	1.8192865935449582e-06
7483	collapse	2	72	1.4596626766757543e-06
7483	collapse	2	73	1.1797058785798767e-06
7483	collapse	2	74	9.604884089215793e-07
7483	collapse	2	75	7.875631049647207e-07
7483	collapse	2	76	6.500127498760089e-07
7483	collapse	2	77	5.396481048442815e-07
7483	collapse	2	78	4.5034690472278825e-07
7483	collapse	2	79	3.7752647675932623e-07
7483	collapse	2	80	3.1773708839521907e-07
7483	collapse	2	81	2.683577407226248e-07
7483	collapse	2	82	2.2737388513257356e-07
7483	collapse	2	83	1.9321750112100802e-07
7483	collapse	2	84	1.646528797178869e-07
7483	collapse	2	85	1.4069501544370133e-07
7483	collapse	2	86	1.2055087574198244e-07
7483	collapse	2	87	1.035766031257342e-07
7483	collapse	2	88	8.924582773896014e-08
7483	collapse	2	89	7.712579628847952e-08
7483	collapse	2	90	6.685908142827151e-08
7483	collapse	2	91	5.814934935279897e-08
7483	collapse	2	92	5.075013758348017e-08
7483	collapse	2	93	4.4455908706040556e-08
7483	collapse	2	94	3.909485461791895e-08
7483	collapse	2	95	3.4523066812876766e-08
7483	collapse	2	96	3.0619785407835955e-08
7483	collapse	2	97	2.7283508251632693e-08
7483	collapse	2	98	2.442879113423148e-08
7483	collapse	2	99	2.1983606888613398e-08
7483	collapse	2	100	1.9887158921694543e-08
7483	collapse	2	101	1.808806596765644e-08
7483	collapse	2	102	1.6542851344146426e-08
7483	collapse	2	103	1.5070330342757286e-08
7483	collapse	2	104	1.359673073670893e-08
7483	collapse	2	105	1.2173142659480766e-08
7483	collapse	2	106	1.083097888199142e-08
7483	collapse	2	107	9.587809677056905e-09
7483	collapse	2	108	8.451623304799432e-09
7483	collapse	2	109	7.423918839416115e-09
7483	collapse	2	110	6.501935293049527e-09
7483	collapse	2	111	5.6802438858162515e-09
7483	collapse	2	112	4.951872497978477e-09
7483	collapse	2	113	4.30908802931087e-09
7483	collapse	2	114	3.743929975409958e-09
7483	collapse	2	115	3.248564297110516e-09
7483	collapse	2	116	2.8155085656881204e-09
7483	collapse	2	117	2.437765877771102e-09
7483	collapse	2	118	2.108894995653839e-09
7483	collapse	2	119	1.8230367137094002e-09
7483	collapse	2	120	1.5749109284785676e-09
7483	collapse	2	121	1.3597948098489012e-09
7483	collapse	2	122	1.1734894667957523e-09
7483	collapse	2	123	1.0122802985592148e-09
7483	collapse	2	124	8.728946150319517e-10
7483	collapse	2	125	7.524589445417447e-10
7483	collapse	2	126	6.48457608067113e-10
7483	collapse	2	127	5.586935403682939e-10
7483	collapse	2	128	4.812519165890142e-10
7483	collapse	2	129	4.1446685002788963e-10
7483	collapse	2	130	3.5689122770658033e-10
7483	collapse	2	131	3.0726961896370097e-10
7483	collapse	2	132	2.6451410931596383e-10
7483	collapse	2	133	2.2768286309240857e-10
7483	collapse	2	134	1.9596119350270113e-10
7483	collapse	2	135	1.6864491030462454e-10
7483	collapse	2	136	1.451257176353253e-10
7483	collapse	2	137	1.2487844395374992e-10
7483	collapse	2	138	1.0744989963069257e-10
7483	collapse	2	139	9.244917357204268e-11
7483	collapse	2	140	7.953919703038197e-11
7483	collapse	2	141	6.842941954945733e-11
7483	collapse	2	142	5.886945821051109e-11
7483	collapse	2	143	5.064359664920043e-11
7483	collapse	2	144	4.356602448537137e-11
7483	collapse	2	145	3.747672076333998e-11
7483	collapse	2	146	3.2237896719873836e-11
7483	collapse	2	147	2.7730923711809684e-11
7483	collapse	2	148	2.3853681506787692e-11
7483	collapse	2	149	2.0518270448216707e-11
7483	collapse	2	150	1.7649038337344053e-11
7483	collapse	2	151	1.518087932186326e-11
7483	collapse	2	152	1.3057767731123454e-11
7483	collapse	2	153	1.1231494737989685e-11
7483	collapse	2	154	9.660580036509761e-12
7483	collapse	2	155	8.309334476212074e-12
7483	collapse	2	156	7.147052854902544e-12
7483	collapse	2	157	6.147318902462015e-12
7483	collapse	2	158	5.28740694223069e-12
7483	collapse	2	159	4.547766841994035e-12
7483	collapse	2	160	3.911580705723504e-12
7483	collapse	2	161	3.364381347405226e-12
7483	collapse	2	162	2.893723962287524e-12
7483	collapse	2	163	2.4889035973905078e-12
7483	collapse	2	164	2.140712047210677e-12
7483	collapse	2	165	1.8412286840641275e-12
7483	collapse	2	166	1.5836404944476654e-12
7483	collapse	2	167	1.362087249666525e-12
7483	collapse	2	168	1.1715283051025234e-12
7483	collapse	2	169	1.0076280102886303e-12
7483	collapse	2	170	8.66657132159789e-13
7483	collapse	2	171	7.454080557597601e-13
7483	collapse	2	172	6.411218383335109e-13
7483	collapse	2	173	5.514254610640545e-13
7483	collapse	2	174	4.742778537131343e-13
7483	collapse	2	175	4.079234662670857e-13
7483	collapse	2	176	3.508523328323561e-13
7483	collapse	2	177	3.0176572031511855e-13
7483	collapse	2	178	2.5954658117096824e-13
7483	collapse	2	179	2.2323413858046316e-13
7483	collapse	2	180	1.9200202625531976e-13
7483	collapse	2	181	1.6513948582830698e-13
7483	collapse	2	182	1.4203519425295989e-13
7483	collapse	2	183	1.221633534091826e-13
7483	collapse	2	184	1.0507172553105929e-13
7483	collapse	2	185	9.03713423088282e-14
7483	collapse	2	186	7.772765357084289e-14
7483	collapse	2	187	6.685291418656316e-14
7483	collapse	2	188	5.749963599097794e-14
7483	collapse	2	189	4.945495575356193e-14
7483	collapse	2	190	4.25357910509223e-14
7483	collapse	2	191	3.658467382495071e-14
7483	collapse	2	192	3.146616682473884e-14
7483	collapse	2	193	2.7063781391058626e-14
7483	collapse	2	194	2.3277326448236053e-14
7483	collapse	2	195	2.0020628379037804e-14
7483	collapse	2	196	1.7219569896791873e-14
7483	collapse	2	197	1.481040328725246e-14
7483	collapse	2	198	1.2738299635753064e-14
7483	collapse	2	199	1.0956101024953052e-14
7483	collapse	2	200	9.423247307105731e-15
7483	collapse	3	0	0.00437654070682867
7483	collapse	3	1	0.004367494088143682
7483	collapse	3	2	0.007020280468293558
7483	collapse	3	3	0.007978679905400177
7483	collapse	3	4	0.019357643643914523
7483	collapse	3	5	0.025394850211025544
7483	collapse	3	6	0.02721488554631162
7483	collapse	3	7	0.027418223357537286
7483	collapse	3	8	0.02735391367854229
7483	collapse	3	9	0.02686280279385037
7483	collapse	3	10	0.02605271427439757
7483	collapse	3	11	0.025023983613924477
7483	collapse	3	12	0.023896569706740905
7483	collapse	3	13	0.022731193409412653
7483	collapse	3	14	0.02151698034334149
7483	collapse	3	15	0.02021563818766979
7483	collapse	3	16	0.01880612726310168
7483	collapse	3	17	0.017291640111912327
7483	collapse	3	18	0.015690465930084566
7483	collapse	3	19	0.014027834942242471
7483	collapse	3	20	0.012334595475175314
7483	collapse	3	21	0.010648373222001566
7483	collapse	3	22	0.009012314015413962
7483	collapse	3	23	0.007470524751311792
7483	collapse	3	24	0.00606211385472641
7483	collapse	3	25	0.004816004878472296
7483	collapse	3	26	0.0037479244282331197
7483	collapse	3	27	0.002860056475393634
7483	collapse	3	28	0.00214301555060061
7483	collapse	3	29	0.0015792096090439228
7483	collapse	3	30	0.0011465382643687696
7483	collapse	3	31	0.00082163984612251
7483	collapse	3	32	0.0005822903398937349
7483	collapse	3	33	0.00040886746567462363
7483	collapse	3	34	0.0002849920612506984
7483	collapse	3	35	0.00019756989676192278
7483	collapse	3	36	0.0001364814988054048
7483	collapse	3	37	9.41194094885421e-05
7483	collapse	3	38	6.489773560000144e-05
7483	collapse	3	39	4.479850103526759e-05
7483	collapse	3	40	3.098290877601675e-05
7483	collapse	3	41	2.1475345789227533e-05
7483	collapse	3	42	1.4916844416073283e-05
7483	collapse	3	43	1.0379513955153301e-05
7483	collapse	3	44	7.231605843911391e-06
7483	collapse	3	45	5.042507853042525e-06
7483	collapse	3	46	3.5175666150034467e-06
7483	collapse	3	47	2.4541167417980516e-06
7483	collapse	3	48	1.7120353237764762e-06
7483	collapse	3	49	1.1940211752384662e-06
7483	collapse	3	50	8.323147997613426e-07
7483	collapse	3	51	5.796723990277239e-07
7483	collapse	3	52	4.0315911397115565e-07
7483	collapse	3	53	2.7983092572626294e-07
7483	collapse	3	54	1.9370680758250365e-07
7483	collapse	3	55	1.3364326900295254e-07
7483	collapse	3	56	9.185045318061328e-08
7483	collapse	3	57	6.286486540108928e-08
7483	collapse	3	58	4.284300006050215e-08
7483	collapse	3	59	2.9076329668383624e-08
